#If you recreated this, remember to remove the last ',' in the file
INSERT INTO STATE_DEPOSIT_OF_PHARMACEUTICALS(CITY, SDOP_RANGE, SDOP_CAPACITY, ADDRESS, SDOP_DILIVERY_TIME)VALUES( 
( 'Kalamata ', '16', '5237', 'Papageorgiou B. 62', '14' ),
( 'Kalamata ', '1', '26013', 'Papageorgiou 71', '10' ),
( 'Kalamata ', '32', '20171', 'Papadimitriou 110', '12' ),
( 'Kalamata ', '52', '60887', 'Papadiamanti 80', '11' ),
( 'Kalamata ', '52', '85926', 'Papathanasiou 107', '13' ),
( 'Kalamata ', '4', '86675', 'Papaioannou 103', '11' ),
( 'Kalamata ', '37', '94133', 'Papakuriazi 123', '6' ),
( 'Kalamata ', '14', '65256', 'Papalouka 85', '7' ),
( 'Kalamata ', '8', '44789', 'Papamaurou 82', '14' ),
( 'Kalamata ', '20', '14757', 'Papamihou 63', '5' ),
( 'Kavala ', '0', '71888', 'Papanastasiou 21', '8' ),
( 'Kavala ', '76', '87774', 'Papandreou Andrea 47', '6' ),
( 'Kavala ', '19', '37991', 'Papandreou 54', '6' ),
( 'Kavala ', '14', '67110', 'Papantoniou 51', '2' ),
( 'Kavala ', '36', '8724', 'Papapostolou 91', '2' ),
( 'Kavala ', '50', '74110', 'Paparodou 2', '7' ),
( 'Kavala ', '9', '50217', 'Paparrigopoulou 29', '6' ),
( 'Kavala ', '6', '51624', 'Papasiopoulou 83', '3' ),
( 'Kavala ', '71', '59995', 'Papastaurou 56', '9' ),
( 'Kavala ', '36', '88927', 'Papaflessa 88', '7' ),
( 'Kavala ', '1', '91562', 'Pardali 73', '6' ),
( 'Chania ', '61', '66370', 'Parnassou 129', '6' ),
( 'Chania ', '66', '45580', 'Parnithos 35', '2' ),
( 'Chania ', '20', '81667', 'Parou 66', '13' ),
( 'Chania ', '5', '14191', 'Patriarhi Grigoriou 131', '9' ),
( 'Chania ', '42', '26778', 'Patroklou 4', '7' ),
( 'Chania ', '67', '48506', 'Patron 109', '1' ),
( 'Chania ', '40', '97936', 'Pafou 32', '5' ),
( 'Chania ', '76', '47547', 'Pelasgias 66', '4' ),
( 'Chania ', '42', '99103', 'Pentelis 12', '5' ),
( 'Chania ', '40', '87125', 'Perikleous 66', '11' ),
( 'Chania ', '63', '18619', 'Perifereiaki Odos Lamias 126', '2' ),
( 'Lamia ', '68', '2756', 'Perraibou 49', '14' ),
( 'Lamia ', '11', '56659', 'Persefonis 62', '9' ),
( 'Lamia ', '69', '80934', 'Petropoulou Spurou 28', '3' ),
( 'Lamia ', '41', '60106', 'Pileidon 41', '6' ),
( 'Lamia ', '0', '82140', 'Piliou 63', '8' ),
( 'Lamia ', '9', '77645', 'Pinelopis 36', '12' ),
( 'Lamia ', '62', '53905', 'Pierion 43', '9' ),
( 'Lamia ', '14', '76469', 'Pilali 21', '4' ),
( 'Lamia ', '45', '51599', 'Pindou 91', '4' ),
( 'Lamia ', '68', '48747', 'Pipinou 2', '7' ),
( 'Lamia ', '9', '50498', 'Plastira Nikolaou 148', '14' ),
( 'Komotini ', '38', '80706', 'Plataion 55', '7' ),
( 'Komotini ', '52', '27802', 'Plateia Dimokratias 14', '4' ),
( 'Komotini ', '15', '79670', 'Plateia Eleutherias 143', '13' ),
( 'Komotini ', '22', '95805', 'Plateia Laou 64', '11' ),
( 'Komotini ', '60', '52124', 'Plateia Parkou 124', '4' ),
( 'Komotini ', '39', '66023', 'Plati G. 55', '1' ),
( 'Komotini ', '74', '16258', 'Platustomou 15', '1' ),
( 'Komotini ', '55', '98975', 'Platonos 74', '14' ),
( 'Komotini ', '69', '84170', 'Ploutarhou 53', '9' ),
( 'Komotini ', '16', '76304', 'Ploutonos 61', '5' ),
( 'Komotini ', '34', '6767', 'Polemi 70', '3' ),
( 'Irakleio ', '59', '50633', 'Politi 24', '2' ),
( 'Irakleio ', '63', '87218', 'Poludeukous 130', '13' ),
( 'Irakleio ', '77', '10649', 'Polukleitou 143', '11' ),
( 'Irakleio ', '1', '39228', 'Polula Iakobou 95', '7' ),
( 'Irakleio ', '24', '73495', 'Poluhroni 19', '7' ),
( 'Irakleio ', '18', '33864', 'Poseidonos 137', '5' ),
( 'Irakleio ', '69', '43597', 'Praksitelous 37', '8' ),
( 'Irakleio ', '20', '25492', 'Prebezis 121', '10' ),
( 'Irakleio ', '46', '39428', 'Probeleggiou 121', '3' ),
( 'Irakleio ', '43', '13629', 'Promitheos 119', '9' ),
( 'Irakleio ', '21', '58937', 'Prousou 133', '9' ),
( 'Rhodes ', '72', '52426', 'Profiti Ilia 20', '8' ),
( 'Rhodes ', '37', '8186', 'Proteos 39', '2' ),
( 'Rhodes ', '62', '41343', 'Puthias 149', '5' ),
( 'Rhodes ', '47', '88149', 'Puleon 76', '12' ),
( 'Rhodes ', '70', '2364', 'Pulou 93', '9' ),
( 'Rhodes ', '22', '24962', 'Purgou 116', '13' ),
( 'Rhodes ', '31', '56187', 'Purras 95', '12' ),
( 'Rhodes ', '21', '30256', 'Purrou 86', '9' ),
( 'Rhodes ', '11', '20744', 'Ragkabi 6', '9' ),
( 'Rhodes ', '35', '45348', 'Raptodimou P. 19', '10' ),
( 'Rhodes ', '15', '58885', 'Rizokosta 22', '2' ),
( 'Stavroupoli ', '13', '48958', 'Ritsou Gianni 70', '6' ),
( 'Stavroupoli ', '76', '90409', 'Rodopis 115', '13' ),
( 'Stavroupoli ', '3', '89490', 'Rodou 72', '6' ),
( 'Stavroupoli ', '42', '26522', 'Rozaki Aggeli 35', '6' ),
( 'Stavroupoli ', '36', '51562', 'Salaminos 23', '8' ),
( 'Stavroupoli ', '67', '54870', 'Samothrakis 110', '1' ),
( 'Stavroupoli ', '1', '73542', 'Samou 54', '12' ),
( 'Stavroupoli ', '31', '26420', 'Samouil 135', '11' ),
( 'Stavroupoli ', '32', '32816', 'Sanatoriou 15', '9' ),
( 'Stavroupoli ', '49', '71294', 'Santaroza 94', '1' ),
( 'Stavroupoli ', '60', '98887', 'Sarantaporou 20', '7' ),
( 'Veria ', '53', '7166', 'Satobriandou 130', '2' ),
( 'Veria ', '66', '27000', 'Semertzidi 61', '5' ),
( 'Veria ', '7', '48710', 'Seferi 138', '13' ),
( 'Veria ', '66', '73513', 'Sifnou 141', '13' ),
( 'Veria ', '74', '59013', 'Skalkota 91', '14' ),
( 'Veria ', '0', '2516', 'Skiathou 96', '5' ),
( 'Veria ', '33', '3212', 'Sklibaniotou 106', '11' ),
( 'Veria ', '39', '54684', 'Skopelou 23', '8' ),
( 'Veria ', '27', '99384', 'Skoufa 71', '4' ),
( 'Veria ', '68', '24177', 'Sliman Errikou 147', '12' ),
( 'Veria ', '47', '39801', 'Smurnis 89', '7' ),
( 'Kozani ', '23', '49168', 'Solomou Solomonta 64', '11' ),
( 'Kozani ', '17', '15944', 'Solomou 15', '13' ),
( 'Kozani ', '30', '60120', 'Solonos 46', '1' ),
( 'Kozani ', '47', '62879', 'Soulakiou 33', '9' ),
( 'Kozani ', '25', '28997', 'Souniou 22', '13' ),
( 'Kozani ', '57', '77472', 'Souri 53', '1' ),
( 'Kozani ', '6', '24148', 'Sofokleous 31', '6' ),
( 'Kozani ', '50', '78892', 'Spetson 4', '4' ),
( 'Kozani ', '14', '90300', 'Spuropoulou 56', '11' ),
( 'Kozani ', '70', '5723', 'Stamou 145', '12' ),
( 'Kozani ', '15', '95112', 'Stournara 39', '13' ),
( 'Karditsa ', '79', '36497', 'Stratigou Karaiskaki Georgiou 88', '9' ),
( 'Karditsa ', '24', '20697', 'Suggrou 32', '6' ),
( 'Karditsa ', '66', '35220', 'Sokratous 96', '8' ),
( 'Karditsa ', '12', '34631', 'Tanagras 110', '12' ),
( 'Karditsa ', '40', '85972', 'Taugetou 111', '8' ),
( 'Karditsa ', '43', '95795', 'Tempon 9', '4' ),
( 'Karditsa ', '75', '23181', 'Tepeleniou 89', '13' ),
( 'Karditsa ', '50', '69100', 'Tertseti 78', '14' ),
( 'Karditsa ', '61', '22452', 'Tzabella 49', '6' ),
( 'Karditsa ', '20', '52099', 'Tzartzanou 80', '2' ),
( 'Karditsa ', '39', '14487', 'Tinou 51', '1' ),
( 'Tripoli ', '49', '68949', 'Traka Spurou 25', '9' ),
( 'Tripoli ', '69', '54941', 'Trahana 125', '8' ),
( 'Tripoli ', '23', '57760', 'Triantafullopoulou 6', '12' ),
( 'Tripoli ', '63', '67288', 'Triantafullou Antoni 60', '12' ),
( 'Tripoli ', '5', '16952', 'Trikalon 133', '6' ),
( 'Tripoli ', '49', '45734', 'Trikoupi Harilaou 77', '10' ),
( 'Tripoli ', '10', '5380', 'Tritsi Antoni 77', '2' ),
( 'Tripoli ', '9', '40387', 'Troias 76', '13' ),
( 'Tripoli ', '6', '87493', 'Tsakalof 53', '5' ),
( 'Tripoli ', '63', '14392', 'Tsaltaki 14', '5' ),
( 'Tripoli ', '23', '43005', 'Tsara Nikiforou 17', '7' )
);
